meticulous	87.6	89	83	94	94	91	80	94	94
appropriated	87.4	89	83	94	79	89	92	94	94
bridesmaid	87	89	83	84	89	85	93	93	93
instancing	87	88	84	92	87	71	90	94	93
mutualities	86.8	89	84	94	74	92	84	71	92
enfeebling	86.8	89	83	89	92	75	91	92	89
locomoting	86.8	89	84	94	85	78	92	81	93
captioning	86.6	89	84	93	72	74	93	86	88
incidentless	86.6	89	83	90	80	75	91	92	88
hyperacidity	86.6	89	84	87	75	77	87	87	90
baksheeshes	86.4	89	84	72	89	88	92	85	84
farsighted	86.2	89	81	75	93	88	90	92	94
redefining	86.2	88	83	78	82	92	88	90	94
calcifying	86.2	87	84	72	93	93	86	83	93
disinclines	86.2	88	84	87	87	84	72	92	94
apostatize	86	89	81	89	92	91	71	88	93
checkrowed	86	88	83	92	81	93	86	90	86
christener	86	88	84	91	76	91	81	83	89
overprints	86	88	83	79	89	92	88	91	72
multiversity	86	86	84	77	92	91	90	94	80
depletable	86	89	83	86	88	75	87	86	75
kindredship	86	87	84	94	75	86	92	91	75
multilayer	85.8	89	81	90	88	90	87	78	94
appreciable	85.8	89	84	94	83	70	88	83	72
antifreezes	85.8	88	83	85	90	70	89	86	88
fruitlessly	85.8	89	81	88	91	94	84	88	92
decrements	85.8	89	82	77	90	89	90	85	76
accentuates	85.6	89	83	84	92	84	91	71	81
beguilement	85.6	88	83	88	85	80	77	92	94
overexpose	85.6	86	84	86	73	85	90	91	91
interphones	85.6	87	84	94	89	79	82	84	92
inseminator	85.6	88	82	94	70	94	77	85	91
princeliness	85.6	88	82	93	90	81	83	87	93
caretakers	85.6	86	84	92	86	81	88	89	90
multicolored	85.6	88	83	92	85	84	85	91	87
indignantly	85.6	89	82	86	71	89	87	75	91
acquainted	85.6	88	84	77	92	89	85	75	83
fibrinogen	85.6	87	84	90	88	75	87	75	85
perversive	85.4	89	83	86	78	93	87	81	78
listlessly	85.4	87	83	91	89	80	90	78	85
persecution	85.4	89	81	88	78	87	84	91	92
radicalize	85.4	87	84	84	71	83	86	86	93
bodysurfed	85.4	88	82	86	93	88	88	84	73
pyromaniacal	85.4	89	80	94	91	87	94	74	70
nonimmunity	85.4	89	80	91	70	89	90	83	90
contributes	85.4	88	83	93	88	85	85	70	78
geochemical	85.4	87	83	92	87	89	79	72	88
antinucleons	85.4	85	84	89	81	70	93	90	93
emergencies	85.4	87	82	88	80	90	72	92	92
discomforted	85.4	88	84	85	72	90	70	92	82
implication	85.4	87	83	94	85	90	90	75	74
actualizing	85.4	89	82	88	77	70	83	87	92
growlingly	85.4	89	83	81	71	88	86	80	89
rebellious	85.2	89	83	88	70	82	90	82	83
housecleans	85.2	88	84	94	74	70	94	86	78
fatigueless	85.2	87	84	70	92	87	85	83	72
pedunculated	85.2	88	82	89	84	88	74	78	90
dissociates	85.2	89	83	90	92	74	77	88	73
cherishers	85.2	89	81	76	87	85	87	91	76
remediless	85.2	86	82	71	92	93	88	93	75
meritocracy	85.2	88	82	70	88	84	85	88	89
officiated	85.2	89	83	83	83	80	81	88	74
disconnected	85.2	89	82	84	87	84	83	71	89
devilishly	85.2	89	82	80	78	85	88	83	86
livelihood	85.2	88	80	93	73	91	91	89	90
permanence	85.2	89	81	74	90	87	94	75	86
recontract	85.2	89	84	78	70	88	83	89	73
hokypokies	85.2	88	84	80	94	74	85	79	94
generative	85.2	87	84	77	91	76	73	93	91
reconstruct	85	89	82	76	91	81	85	71	85
accessibly	85	89	83	73	73	93	78	84	85
cosmogonic	85	86	83	92	80	86	88	83	93
combustion	85	87	84	81	86	88	73	75	86
harshening	85	85	84	92	90	85	86	89	75
complainants	85	89	79	90	75	83	92	89	89
bespreading	85	89	83	91	73	86	82	80	78
neurotically	85	87	84	70	91	81	77	85	88
necessaries	85	85	84	92	90	77	74	93	84
blunderbuss	85	87	83	85	92	71	91	82	85
felicitation	85	88	81	90	86	87	86	93	88
inimically	85	87	84	72	91	84	82	79	94
noncancerous	85	89	81	79	82	88	88	92	74
reincurred	85	85	84	73	88	87	84	92	91
introducible	85	89	81	73	89	86	84	87	70
inexpressive	85	86	84	87	86	85	85	86	71
recapitalize	85	88	82	80	84	87	93	84	86
freelancing	85	89	82	92	78	87	91	79	70
reimbursable	85	88	84	84	79	84	84	78	74
anesthetics	85	84	84	87	84	79	91	91	93
coercively	85	87	84	83	89	72	93	80	83
metatarsal	85	88	81	89	91	70	85	91	86
microspace	85	87	83	81	79	94	84	88	86
otoscopies	85	89	79	92	93	82	91	86	88
bandwagons	85	89	83	94	85	77	92	70	72
expertness	85	88	82	82	92	88	84	87	75
cartoonist	84.8	89	80	90	89	85	88	85	77
auditorium	84.8	89	80	90	82	83	93	79	94
refurbished	84.8	87	83	91	89	71	72	81	87
resistivity	84.8	86	82	82	87	92	89	90	71
nucleation	84.8	89	78	88	92	94	82	92	85
expatiation	84.8	89	84	84	82	79	77	78	72
conservatory	84.8	89	80	83	93	92	81	89	77
newfoundland	84.8	89	81	82	77	89	86	75	93
gossipping	84.8	87	84	79	93	74	93	71	85
countersunk	84.8	88	80	94	90	90	75	74	87
diastrophic	84.8	89	82	79	85	87	76	74	85
conflicting	84.8	87	80	91	92	91	77	90	73
embroilment	84.8	86	83	84	94	93	84	82	88
mesmerizers	84.8	89	81	87	78	87	82	93	82
disseminates	84.8	84	84	94	89	88	71	92	88
interveners	84.8	87	84	72	74	84	90	94	80
invincibly	84.8	87	81	88	88	80	92	92	85
androgynies	84.8	84	83	93	83	89	94	91	81
reprobated	84.8	85	83	86	93	84	89	88	90
preexposing	84.8	88	84	79	90	83	74	77	82
christopher	84.8	88	79	74	93	90	92	91	85
erotogenic	84.8	88	84	77	75	78	91	88	82
regerminates	84.8	89	83	76	87	72	83	89	78
conception	84.8	85	84	86	86	80	89	82	87
monseigneur	84.6	88	83	75	82	73	81	88	82
counterspies	84.6	87	82	74	81	93	91	86	84
animalcules	84.6	83	84	89	86	92	89	83	89
partnering	84.6	87	83	93	83	81	83	80	83
necessarily	84.6	89	81	91	84	83	79	93	75
chairmanned	84.6	87	84	85	81	81	85	77	81
horehounds	84.6	88	83	83	81	80	78	82	84
encouraged	84.6	88	83	84	74	78	93	85	70
briquettes	84.6	88	81	94	73	74	91	89	81
agreements	84.6	84	83	77	94	87	93	77	92
compliancies	84.6	88	80	76	92	80	84	92	91
abandonedly	84.6	85	84	70	89	75	81	94	94
alleviated	84.6	88	84	85	70	79	72	79	87
disemboweled	84.6	87	84	90	88	71	81	82	78
heretofore	84.6	89	83	88	88	80	74	78	77
respecters	84.6	89	81	76	87	80	82	89	85
characterize	84.6	86	84	80	94	84	92	82	78
cotangents	84.6	89	78	89	94	75	90	94	72
investigator	84.6	88	84	81	92	71	91	71	78
decentralist	84.6	89	82	87	76	73	89	72	88
paternalism	84.6	85	82	91	88	92	80	94	86
distensions	84.6	87	84	81	82	86	75	75	91
catalogues	84.6	88	82	77	87	83	93	84	75
absurdness	84.6	89	83	82	76	70	90	77	93
infringing	84.6	84	83	90	90	89	92	83	81
pathogenetic	84.6	89	79	91	78	86	94	89	85
containments	84.6	88	82	70	90	91	94	70	77
interacinous	84.6	89	80	89	86	84	72	87	83
orientation	84.6	86	81	89	81	76	94	90	94
overburden	84.6	88	83	75	87	88	87	72	75
disinfestant	84.6	88	84	80	94	79	79	70	88
decathlons	84.6	87	83	86	78	73	81	87	91
chromaticism	84.6	86	81	89	90	94	84	70	90
contributors	84.6	83	83	91	91	92	78	94	93
idealizing	84.6	88	80	85	83	90	78	94	90
irrigators	84.6	89	82	93	72	82	85	72	80
chastening	84.6	86	84	70	76	84	86	93	83
lacquering	84.4	84	83	91	93	75	85	70	92
endangering	84.4	89	82	86	85	75	74	70	90
exospheric	84.4	88	80	88	93	71	88	84	71
incomputably	84.4	89	82	92	71	82	85	79	78
blackboard	84.4	89	81	85	75	80	91	90	71
goddaughters	84.4	88	82	86	94	79	72	93	70
persevered	84.4	86	82	81	84	92	94	88	81
corruptions	84.4	86	81	92	86	88	88	74	88
autogeneses	84.4	88	84	83	78	77	75	78	86
breechcloth	84.4	89	82	85	72	80	71	81	89
bolshevists	84.4	86	84	86	80	90	83	81	74
circumvents	84.4	87	84	89	74	81	89	79	80
feudatories	84.4	88	80	83	89	84	83	88	92
dissolution	84.4	89	81	84	70	78	84	80	92
phototrophic	84.4	85	82	91	92	78	70	94	86
idiosyncrasy	84.4	85	81	72	91	94	89	92	72
landlessness	84.4	88	81	70	90	78	80	93	89
preciously	84.4	87	82	80	72	93	84	88	84
overrefines	84.4	86	83	78	88	94	73	82	86
collieries	84.4	89	80	92	84	70	89	72	85
flagellates	84.4	87	82	87	72	81	94	92	76
prebendary	84.4	87	84	73	82	91	78	86	71
misquotation	84.4	87	82	84	93	70	83	88	84
recompiled	84.4	85	84	83	81	85	75	90	86
excitations	84.4	89	81	87	80	78	89	84	74
overinvest	84.4	89	80	88	91	82	87	73	73
redolently	84.4	87	80	70	77	92	84	92	92
antiabortion	84.4	88	84	76	77	73	79	90	85
fluoroscopic	84.4	87	82	79	90	77	81	87	92
kryptonite	84.4	89	81	70	82	76	82	88	82
merchanted	84.4	87	81	88	86	74	94	87	85
coffeepots	84.4	89	84	77	74	80	76	70	88
ailurophobe	84.4	87	83	94	74	84	88	70	80
acidulously	84.4	86	83	92	73	88	79	92	80
regretting	84.4	88	83	77	87	79	82	79	90
attentively	84.4	87	80	89	76	80	93	94	87
horsetails	84.4	86	84	70	83	90	86	82	71
autohypnosis	84.4	88	81	85	72	93	88	83	71
informative	84.2	86	81	88	84	88	86	92	74
nuncupative	84.2	86	83	93	91	77	75	89	70
administered	84.2	87	82	79	74	90	83	83	87
acceptedly	84.2	84	83	74	88	87	92	89	86
consumable	84.2	88	82	81	77	81	92	82	83
culminates	84.2	86	84	78	71	76	93	85	89
adumbrative	84.2	88	84	75	77	72	88	84	77
mennonites	84.2	85	83	86	85	85	73	82	85
foretokening	84.2	86	83	90	81	86	71	89	74
covertness	84.2	83	83	90	81	92	89	94	80
hydrographer	84.2	89	81	78	82	80	75	83	84
marvelling	84.2	88	81	84	80	71	90	82	93
bedfellows	84.2	85	83	88	79	92	86	72	85
postscripts	84.2	89	79	83	93	88	82	91	73
conceptually	84.2	88	84	92	72	84	75	70	79
excruciating	84.2	89	79	86	72	89	70	92	85
dissociate	84.2	87	81	93	74	90	81	77	89
overpraise	84.2	86	81	93	84	93	82	79	90
magnetizes	84.2	89	83	91	72	84	76	78	73
downloading	84.2	89	82	82	88	75	74	78	80
archonship	84.2	87	82	92	72	73	93	92	75
formations	84.2	88	78	92	88	91	93	72	79
perfectest	84.2	89	78	91	88	90	86	82	78
enciphering	84.2	89	80	82	84	89	93	76	76
discursive	84.2	85	82	82	94	86	88	89	82
embarkation	84.2	86	84	84	76	87	74	90	78
pedicurist	84.2	85	84	85	94	86	70	82	81
deadliness	84.2	87	82	72	76	94	80	88	86
leprechauns	84.2	85	83	77	82	79	90	89	94
belittling	84.2	88	83	73	93	81	73	83	78
excellency	84.2	89	79	70	82	74	90	89	93
regenerated	84.2	87	84	92	78	76	80	72	93
biographer	84.2	89	77	78	86	77	94	94	92
polymerized	84.2	85	83	90	84	89	87	75	79
dumfounding	84.2	89	81	78	72	93	84	85	78
dumbstruck	84.2	85	82	93	78	71	91	84	90
reliquidated	84.2	86	81	76	92	87	85	90	88
pharmacists	84.2	87	82	78	92	87	75	82	84
hegemonical	84	87	84	79	73	86	86	71	77
irrefutably	84	88	84	90	75	89	77	71	76
interrelates	84	86	84	86	75	86	73	87	74
maisonettes	84	87	83	88	87	82	78	75	70
megaphones	84	88	78	93	83	84	80	93	92
refiltering	84	86	82	74	88	74	88	80	88
identifiers	84	89	84	73	76	71	80	73	82
mainlander	84	89	81	76	78	93	83	89	76
acrostically	84	85	84	81	77	94	84	80	84
internments	84	87	81	94	76	77	82	93	87
centillion	84	85	84	86	91	82	73	82	71
reminiscent	84	86	84	72	70	86	75	93	88
enshrouded	84	85	84	76	94	82	82	81	94
deflective	84	87	78	94	94	90	90	86	78
recitalists	84	89	84	94	73	75	72	89	73
priesthood	84	88	81	75	82	86	89	83	80
mayoralties	84	86	82	84	85	80	87	85	80
degreasing	84	89	83	83	74	81	73	75	78
purposefully	84	88	84	72	75	92	77	76	86
moronities	84	82	84	73	91	94	90	87	70
graininess	84	89	78	77	81	83	89	94	91
creativity	84	86	79	72	91	90	93	84	91
ambuscades	84	88	78	87	93	85	91	89	70
lithologic	84	87	84	75	71	78	93	92	78
overinflate	84	86	84	84	94	77	73	78	82
extendible	84	86	82	72	76	91	80	89	88
lengtheners	84	85	84	76	72	94	91	86	79
blueberries	84	87	83	82	93	78	77	77	88
concordantly	84	88	84	82	75	70	73	77	77
baronetcies	84	89	79	81	88	85	74	90	83
redemptive	84	89	80	88	71	74	77	92	89
falconries	84	88	83	81	75	91	94	73	71
heartbreak	84	84	82	91	72	85	91	91	78
exasperate	84	88	82	85	87	70	71	76	90
libidinously	84	83	83	91	86	72	86	91	94
forefather	84	87	83	88	76	76	80	80	94
empiricism	84	87	82	75	81	92	76	83	83
brahmanism	84	84	82	89	91	89	84	85	87
dehypnotized	84	89	76	90	90	93	91	87	86
epithalamium	84	89	79	84	90	85	86	73	82
interfacing	84	88	80	73	71	90	87	81	89
currentness	84	84	84	87	81	93	81	90	77
hearthstone	84	88	77	91	91	93	84	71	90
metabolized	84	85	81	90	90	81	87	79	94
hampshirites	84	88	80	84	91	91	85	75	79
doorplates	84	85	84	77	70	91	85	86	79
diphtherial	84	86	84	78	94	75	70	82	86
appraisers	84	85	83	77	83	94	83	85	90
republishes	84	86	84	92	74	89	72	80	81
anachronism	83.8	89	77	85	91	89	90	71	79
